Speed,TS_Sent,TS_Recv,Latency_ms
59.238,1765894972.969596,1765894972.970000,0.404
24.807,1765894972.979678,1765894972.980000,0.322
25.156,1765894972.989753,1765894972.990000,0.247
85.472,1765894972.999861,1765894973.000000,0.139
1.870,1765894973.009991,1765894973.020000,10.009
25.436,1765894973.020076,1765894973.020000,-0.076
22.823,1765894973.030166,1765894973.030000,-0.166
34.425,1765894973.040250,1765894973.040000,-0.250
39.639,1765894973.050329,1765894973.050000,-0.329
35.292,1765894973.060406,1765894973.071000,10.594
70.080,1765894973.070489,1765894973.071000,0.511
77.236,1765894973.080560,1765894973.081000,0.440
5.322,1765894973.090633,1765894973.091000,0.367
74.728,1765894973.100705,1765894973.101000,0.295
61.487,1765894973.110775,1765894973.121000,10.225
64.171,1765894973.120844,1765894973.121000,0.156
8.506,1765894973.130916,1765894973.131000,0.084
53.446,1765894973.141005,1765894973.141000,-0.005
6.750,1765894973.151079,1765894973.151000,-0.079
49.187,1765894973.161160,1765894973.171000,9.840
51.944,1765894973.171246,1765894973.171000,-0.246
91.263,1765894973.181321,1765894973.181000,-0.321
47.500,1765894973.191396,1765894973.192000,0.604
87.147,1765894973.201469,1765894973.202000,0.531
28.275,1765894973.211562,1765894973.212000,0.438
60.559,1765894973.221642,1765894973.222000,0.358
71.209,1765894973.231720,1765894973.232000,0.280
64.086,1765894973.241791,1765894973.242000,0.209
36.130,1765894973.251862,1765894973.252000,0.138
64.251,1765894973.261935,1765894973.262000,0.065
7.885,1765894973.272016,1765894973.272000,-0.016
68.696,1765894973.282096,1765894973.282000,-0.096
44.283,1765894973.292174,1765894973.292000,-0.174
96.900,1765894973.302247,1765894973.302000,-0.247
13.732,1765894973.312321,1765894973.312000,-0.321
0.252,1765894973.322404,1765894973.323000,0.596
40.131,1765894973.332487,1765894973.333000,0.513
61.958,1765894973.342559,1765894973.353000,10.441
12.763,1765894973.352629,1765894973.353000,0.371
29.987,1765894973.362696,1765894973.363000,0.304
94.952,1765894973.372767,1765894973.373000,0.233
44.159,1765894973.382841,1765894973.383000,0.159
69.433,1765894973.392919,1765894973.403000,10.081
61.356,1765894973.402993,1765894973.403000,0.007
13.178,1765894973.413070,1765894973.413000,-0.070
32.813,1765894973.423161,1765894973.423000,-0.161
27.395,1765894973.433310,1765894973.433000,-0.310
57.817,1765894973.443434,1765894973.454000,10.566
19.423,1765894973.453524,1765894973.454000,0.476
86.174,1765894973.463601,1765894973.464000,0.399
29.952,1765894973.473692,1765894973.474000,0.308
35.861,1765894973.483814,1765894973.484000,0.186
49.575,1765894973.493897,1765894973.504000,10.103
94.640,1765894973.503979,1765894973.504000,0.021
34.896,1765894973.514059,1765894973.514000,-0.059
38.458,1765894973.524234,1765894973.524000,-0.234
78.370,1765894973.534505,1765894973.535000,0.495
18.468,1765894973.544716,1765894973.545000,0.284
17.128,1765894973.554934,1765894973.555000,0.066
8.645,1765894973.565074,1765894973.565000,-0.074
59.896,1765894973.575298,1765894973.586000,10.702
33.288,1765894973.585440,1765894973.586000,0.560
29.450,1765894973.595568,1765894973.596000,0.432
4.123,1765894973.605647,1765894973.606000,0.353
73.917,1765894973.615720,1765894973.616000,0.280
22.140,1765894973.625794,1765894973.636000,10.206
88.067,1765894973.635871,1765894973.636000,0.129
83.674,1765894973.645944,1765894973.646000,0.056
95.560,1765894973.656046,1765894973.656000,-0.046
66.487,1765894973.666173,1765894973.666000,-0.173
44.144,1765894973.676254,1765894973.687000,10.746
96.558,1765894973.686334,1765894973.687000,0.666
71.375,1765894973.696414,1765894973.697000,0.586
32.352,1765894973.706499,1765894973.707000,0.501
63.415,1765894973.716584,1765894973.717000,0.416
73.614,1765894973.726709,1765894973.737000,10.291
99.298,1765894973.736879,1765894973.737000,0.121
57.261,1765894973.747092,1765894973.747000,-0.092
90.441,1765894973.757305,1765894973.757000,-0.305
55.688,1765894973.767595,1765894973.768000,0.405
58.243,1765894973.777816,1765894973.778000,0.184
65.010,1765894973.788069,1765894973.788000,-0.069
90.150,1765894973.798296,1765894973.798000,-0.296
76.618,1765894973.808525,1765894973.819000,10.475
18.718,1765894973.818775,1765894973.819000,0.225
58.353,1765894973.829087,1765894973.829000,-0.087
11.387,1765894973.839303,1765894973.839000,-0.303
12.192,1765894973.849519,1765894973.850000,0.481
24.248,1765894973.859686,1765894973.870000,10.314
94.705,1765894973.869926,1765894973.870000,0.074
41.793,1765894973.880146,1765894973.880000,-0.146
91.207,1765894973.890361,1765894973.891000,0.639
23.825,1765894973.900622,1765894973.901000,0.378
30.079,1765894973.910857,1765894973.911000,0.143
34.261,1765894973.921062,1765894973.921000,-0.062
77.631,1765894973.931287,1765894973.931000,-0.287
86.026,1765894973.941524,1765894973.952000,10.476
22.653,1765894973.951681,1765894973.952000,0.319
7.924,1765894973.961993,1765894973.962000,0.007
99.912,1765894973.972275,1765894973.972000,-0.275
33.950,1765894973.982572,1765894973.983000,0.428
38.031,1765894973.992876,1765894974.003000,10.124
96.617,1765894974.003020,1765894974.003000,-0.020
88.607,1765894974.013264,1765894974.013000,-0.264
16.209,1765894974.023512,1765894974.024000,0.488
93.072,1765894974.033623,1765894974.034000,0.377
17.139,1765894974.043766,1765894974.044000,0.234
31.550,1765894974.053963,1765894974.054000,0.037
